Location,Status,URL,Address,Utilities,Bathroom,Bedroom,Rent_USD
"50 O'Neill Road, Toronto, ON M3C 0H1",,https://www.zumper.com/address/50-o'neill-rd-toronto-on-m3c-0h1-can,"50 O'Neill Road, Toronto, ON M3C 0H1","Package Service,Concierge Service,Residents Lounge",2 baths,2 beds,"$3,300"
"29 Singer Court, Toronto, ON M2K 0B3",,https://www.zumper.com/address/29-singer-ct-toronto-on-m2k-0b3-can,"29 Singer Court, Toronto, ON M2K 0B3","Hardwood Floor,Storage,Balcony",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"1765 Queen Street East, Toronto, ON M4L 3Z2","Dishwasher,In Unit Laundry,High Ceilings",2 baths,2 beds,"$3,300"
"15 Baseball Place, Toronto, ON M4M 0E6",,https://www.zumper.com/apartments-for-rent/55866100/2-bedroom-riverdale-toronto-on,"15 Baseball Place, Toronto, ON M4M 0E6","Outdoor Space,High Ceilings,Onsite Management",2 baths,2 beds,"$3,300"
"35 Brian Peck Crescent, Toronto, ON M4G 0A5",,https://www.zumper.com/address/35-brian-peck-crk-toronto-on-m4g-4j7-can,"35 Brian Peck Crescent, Toronto, ON M4G 0A5","Onsite Management,Fitness Center,Storage",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"485 Logan Avenue, Toronto, ON M4M 2P5","Dishwasher,Air Conditioning,High Ceilings",2 baths,2 beds,"$3,300"
"1100 Kingston Road, Toronto, ON M1N 0B3",,https://www.zumper.com/address/1100-kingston-rd-toronto-on-m1n-1n4-can,"1100 Kingston Road, Toronto, ON M1N 0B3","Storage,Central Heat,Elevator",2 baths,2 beds,"$3,300"
"95 McMahon Drive, Toronto, ON M2K 0H2",,https://www.zumper.com/address/95-mcmahon-dr-toronto-on-m2k-0e4-can,"95 McMahon Drive, Toronto, ON M2K 0H2","Swimming Pool,Central Heat,High Ceilings",2 baths,2 beds,"$3,300"
"15 Baseball Place, Toronto, ON M4M 0E6",,https://www.zumper.com/address/15-15-baseball-pl-toronto-on-m4m-0e6-can,"15 Baseball Place, Toronto, ON M4M 0E6","In Unit Laundry,Residents Lounge,Outdoor Space",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"7 Kenaston Gardens, Toronto, ON M2K 1G7","Dishwasher,High Ceilings,Fitness Center",2 baths,2 beds,"$3,300"
"135 Wynford Drive, Toronto, ON M3C 0J4",,https://www.zumper.com/apartments-for-rent/55810088/2-bedroom-victoria-park-village-toronto-on,"135 Wynford Drive, Toronto, ON M3C 0J4","Concierge Service,Carpet,Balcony",2 baths,2 beds,"$3,300"
"33 Singer Court, Toronto, ON M2K 0B4",,https://www.zumper.com/address/33-singer-ct-toronto-on-m2k-0b4-can,"33 Singer Court, Toronto, ON M2K 0B4","Air Conditioning,Onsite Management,Concierge Service",2 baths,2 beds,"$3,300"
"1 Hycrest Avenue, Toronto, ON M2N 3B7",,https://www.zumper.com/address/1-hycrest-ave-north-york-on-m2n-can,"1 Hycrest Avenue, Toronto, ON M2N 3B7","Garage Parking,Package Service,On Site Laundry",2 baths,2 beds,"$3,300"
"85 McMahon Drive, Toronto, ON M2K 0H1",,https://www.zumper.com/address/85-mcmahon-dr-toronto-on-m2k-0h1-can,"85 McMahon Drive, Toronto, ON M2K 0H1","Package Service,Hardwood Floor,Concierge Service",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"20 Bruyeres Mews #1610, Toronto, ON M5V 0G8","Outdoor Space,Storage,In Unit Laundry",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"20 Edward Street #912, Toronto, ON M5G 0C5","Air Conditioning,Central Heat,Elevator",2 baths,2 beds,"$3,300"
"2020 Bathurst Street, Toronto, ON M5P 0A6",,https://www.zumper.com/address/2020-bathurst-st-toronto-on-m5p-0a6-can,"2020 Bathurst Street, Toronto, ON M5P 0A6","Assigned Parking,Residents Lounge,Storage",2 baths,2 beds,"$3,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"2433 Dufferin Street #609, Toronto, ON M6E 0B4","Wheelchair Accessible,Storage,Central Heat",2 baths,2 beds,"$3,700,$3,300,Price drop"
"16 Brookers Lane #3408, Toronto, ON M8V 0A5",,https://www.zumper.com/address/16-brookers-ln-toronto-on-m8v-0a5-can,"16 Brookers Lane #3408, Toronto, ON M8V 0A5","Onsite Management,Wheelchair Accessible,Elevator",2 baths,2 beds,"$3,300"
"109 Front Street East #301, Toronto, ON M5A 4P7",,https://www.zumper.com/address/109-frnt-st-e-toronto-on-m5a-4p7-can,"109 Front Street East #301, Toronto, ON M5A 4P7","Hardwood Floor,Central Heat,Walk In Closets",2 baths,2 beds,"$3,300"
"417 Pape Avenue #1, Toronto, ON M4K 3P3",,https://www.zumper.com/address/417-pape-ave-toronto-on-m4k-3p3-can,"417 Pape Avenue #1, Toronto, ON M4K 3P3","Central Heat,Hardwood Floor,Balcony",2 baths,2 beds,"$3,300"
"3 Rean Drive, Toronto, ON M2K 3C2",,https://www.zumper.com/address/3-rean-dr-toronto-on-m2k-3c2-can,"3 Rean Drive, Toronto, ON M2K 3C2","Dishwasher,Garage Parking,Central Heat",2 baths,2 beds,"$3,325"
"5 Federal Street #Back, Toronto, ON M6J 3M3",,https://www.zumper.com/address/5-federal-st-toronto-on-m6j-3m3-can,"5 Federal Street #Back, Toronto, ON M6J 3M3","$3,345",2 baths,2 beds,"$3,345"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"100 Harrison Garden Blvd #1416, Toronto, ON M2N 0C2","Wheelchair Accessible,Storage,Fitness Center",2 baths,2 beds,"$3,345"
"475 Queen Street West #203, Toronto, ON M5V 2A9",,https://www.zumper.com/address/475-queen-st-w-toronto-on-m5v-2a9-can,"475 Queen Street West #203, Toronto, ON M5V 2A9","Dishwasher,Wheelchair Accessible,Hardwood Floor",2 baths,2 beds,"$3,350"
"15 Brenthall Avenue #14, Toronto, ON M2R 1N1",,https://www.zumper.com/address/15-brenthall-ave-toronto-on-m2r-1n1-can,"15 Brenthall Avenue #14, Toronto, ON M2R 1N1","Dishwasher,Balcony,Outdoor Space",2 baths,2 beds,"$3,350"
"25 Holly Street #2003, Toronto, ON M4S 0E3",,https://www.zumper.com/address/25-holly-st-toronto-on-m4s-0e3-can,"25 Holly Street #2003, Toronto, ON M4S 0E3","Balcony,Residents Lounge,Swimming Pool",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"390 Cherry St #2307, Toronto, ON M5A 0E2","Dishwasher,Fitness Center,Elevator",2 baths,2 beds,"$3,350"
"38 Widmer Street #2007, Toronto, ON M5V 2E9",Verified,https://www.zumper.com/address/38-widmer-st-toronto-on-m5v-2e9-can,"38 Widmer Street #2007, Toronto, ON M5V 2E9","Garden,Outdoor Space,Onsite Management",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"225 Sumach Street #2903, Toronto, ON M5A 0P8","Concierge Service,Fitness Center,Outdoor Space",2 baths,2 beds,"$3,350"
"15 Queens Quay E #2603, Toronto, ON M5E 0C5",,https://www.zumper.com/address/15-queens-quay-e-toronto-on-m5e-0a5-can,"15 Queens Quay E #2603, Toronto, ON M5E 0C5","Hardwood Floor,Elevator,Assigned Parking",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"37 Grosvenor Street #3308, Toronto, ON M4Y 3G5","Balcony,Residents Lounge,Garage Parking",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"832 Bay Street #1202, Toronto, ON M5S 1Z6","Air Conditioning,Fitness Center,Elevator",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"120 Bayview Ave #S501, Toronto, ON M5A 0G4","Swimming Pool,Fitness Center,$3,350",2 baths,2 beds,"$3,350"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"30 Nelson Street #2209, Toronto, ON M5V 0H5","Outdoor Space,Package Service,Fitness Center",2 baths,2 beds,"$3,350"
"20 Minowan Miikan Lane #1130, Toronto, ON M6J 0E5",,https://www.zumper.com/address/20-minowan-miikan-ln-toronto-on-m6j-1m3-can,"20 Minowan Miikan Lane #1130, Toronto, ON M6J 0E5","Residents Lounge,Assigned Parking,Hardwood Floor",2 baths,2 beds,"$3,350"
25 St. Dennis,Excellent,https://www.zumper.com/apartment-buildings/p213294/25-st-dennis-drive-flemingdon-park-toronto-on,"25 St Dennis Dr, Toronto, ON M3C 1E6","Central Heat,Elevator,On Site Laundry",2 baths,3 beds,"$3,400"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"219 Dundas Street East, Toronto, ON M5A 1Z7","Residents Lounge,Air Conditioning,Storage",2 baths,3 beds,"$3,400"
34 Noble Street,,https://www.zumper.com/apartment-buildings/p511638/34-noble-street-parkdale-toronto-on,"34 Noble St, Toronto, ON M6K 2C9","Air Conditioning,On Site Laundry,Dishwasher",2 baths,3 beds,"$3,408"
Thirty Six Zorra #6320,Excellent,https://www.zumper.com/apartment-buildings/p984307/thirty-six-zorra-6320-stonegate-queensway-toronto-on,"36 Zorra St, Toronto, ON M8Z 0G5","Fitness Center,Swimming Pool,Residents Lounge",2 baths,3 beds,"$3,450"
"133 Wynford Drive, Toronto, ON M3C 0J5",,https://www.zumper.com/address/133-wynford-dr-toronto-on-m3c-0j5-can,"133 Wynford Drive, Toronto, ON M3C 0J5","Garage Parking,Balcony,Hardwood Floor",2 baths,3 beds,"$3,450"
"67 Piggott Mews, Toronto, ON M9N 0A7",,https://www.zumper.com/address/67-piggott-mw-toronto-on-m9n-0a7-can,"67 Piggott Mews, Toronto, ON M9N 0A7","Air Conditioning,Assigned Parking,Balcony",2 baths,3 beds,"$3,500"
"338 Rhodes Avenue, Toronto, ON M4L 3A3",Verified,https://www.zumper.com/address/338-rhodes-ave-toronto-on-m4l-3a3-can,"338 Rhodes Avenue, Toronto, ON M4L 3A3","Dishwasher,Air Conditioning,On Site Laundry",2 baths,3 beds,"$3,500"
"8 Telegram Mews, Toronto, ON M5V 3Z5",,https://www.zumper.com/address/8-telegram-mw-toronto-on-m5v-3z5-can,"8 Telegram Mews, Toronto, ON M5V 3Z5","Garden,Wheelchair Accessible,Fitness Center",2 baths,3 beds,"$3,500"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=9,"13 Yetta Shepway, Toronto, ON M2J 1X8","In Unit Laundry,Garage Parking,Hardwood Floor",2 baths,3 beds,"$3,500"
"77 Ionview Road #Main, Toronto, ON M1K 2Z7",,https://www.zumper.com/address/77-ionview-rd-toronto-on-m1k-2z7-can,"77 Ionview Road #Main, Toronto, ON M1K 2Z7","Air Conditioning,On Site Laundry,Assigned Parking",2 baths,3 beds,"$3,500"
"57 Blake Street, Toronto, ON M4J 3E2",,https://www.zumper.com/address/57-blake-st-toronto-on-m4j-3e2-can,"57 Blake Street, Toronto, ON M4J 3E2","In Unit Laundry,Balcony,Hardwood Floor",2 baths,3 beds,"$3,500"
"218 Broadview Avenue #Upper, Toronto, ON M4M 2G5",Verified,https://www.zumper.com/address/218-broadview-ave-toronto-on-m4m-2g5-can,"218 Broadview Avenue #Upper, Toronto, ON M4M 2G5","On Site Laundry,Assigned Parking,Air Conditioning",2 baths,3 beds,"$3,500"
Rosebury Square,Excellent,https://www.zumper.com/apartment-buildings/p456885/rosebury-square-glen-park-toronto-on,"145 Marlee Ave, Toronto, ON M6B 3H3","Garage Parking,Controlled Access,On Site Laundry",2 baths,3 beds,"$3,524"
The Scotch Elms,,https://www.zumper.com/apartment-buildings/p514753/the-scotch-elms-the-elms-old-rexdale-toronto-on,"12 Auburndale Crt, Toronto, ON M9W 3T9","In Unit Laundry,Assigned Parking,Garage Parking",2 baths,4 beds,"$3,525"
"1555 Bloor Street West #3, Toronto, ON M6P 1A5",,https://www.zumper.com/address/1555-bloor-st-w-toronto-on-m6p-1a5-can,"1555 Bloor Street West #3, Toronto, ON M6P 1A5","Storage,Balcony,Garden",2 baths,3 beds,"$3,595"
