Location,Status,URL,Address,Utilities,Bathroom,Bedroom,Rent_USD
"95 McMahon Drive, Toronto, ON M2K 0H2",,https://www.zumper.com/address/95-mcmahon-dr-toronto-on-m2k-0h2-can,"95 McMahon Drive, Toronto, ON M2K 0H2","In Unit Laundry,Concierge Service,Balcony",2 baths,3 beds,"$3,900"
"118 Blantyre Avenue, Toronto, ON M1N 2R5",,https://www.zumper.com/address/118-blantyre-ave-toronto-on-m1n-2r5-can,"118 Blantyre Avenue, Toronto, ON M1N 2R5","Storage,Balcony,Fireplace",2 baths,3 beds,"$3,900"
"181 Bedford Road #1304, Toronto, ON M5R 0C2",,https://www.zumper.com/address/181-bedford-rd-toronto-on-m5r-3p8-can,"181 Bedford Road #1304, Toronto, ON M5R 0C2","In Unit Laundry,Central Heat,High Ceilings",2 baths,3 beds,"$3,900"
"16 Minto Street #1, Toronto, ON M4L 1B6",Verified,https://www.zumper.com/address/16-minto-st-toronto-on-m4l-1b6-can,"16 Minto Street #1, Toronto, ON M4L 1B6","Air Conditioning,Central Heat,Assigned Parking",2 baths,3 beds,"$3,900"
The Galleria,Excellent,https://www.zumper.com/apartment-buildings/p213635/the-galleria-willowdale-toronto-on,"77 Finch Ave E, Toronto, ON M2N 6H8","Storage,Fitness Center,$3,913",2 baths,3 beds,"$3,913"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=10,"16 Yonge St, Toronto, ON M5E 2A1","Furnished,Air Conditioning,Balcony",2 baths,3 beds,"$3,950"
"129 Withrow Avenue, Toronto, ON M4K 1C8",,https://www.zumper.com/address/129-withrow-ave-toronto-on-m4k-1c8-can,"129 Withrow Avenue, Toronto, ON M4K 1C8","Dishwasher,Hardwood Floor,Central Heat",2 baths,3 beds,"$3,950"
"54 Saint David Street, Toronto, ON M5A 3N8",,https://www.zumper.com/address/54-st-david-st-toronto-on-m5a-3n8-can,"54 Saint David Street, Toronto, ON M5A 3N8","In Unit Laundry,Assigned Parking,Balcony",2 baths,3 beds,"$3,950"
Townhouses at High Park Village,,https://www.zumper.com/apartment-buildings/p789578/townhouses-at-high-park-village-high-park-toronto-on,"116 102-116 Pacific Ave, Toronto, ON M6P 2P3","On Site Laundry,Garage Parking,In Unit Laundry",2 baths,3 beds,"$3,957"
Rideau Towers,Excellent,https://www.zumper.com/apartment-buildings/p231126/rideau-towers-thorncliffe-park-toronto-on,"47 Thorncliffe Park Dr, Toronto, ON M4H 1J5","Balcony,On Site Laundry,Ceiling Fan",2 baths,3 beds,"$3,970"
Rideau Towers,Excellent,https://www.zumper.com/apartment-buildings/p231127/rideau-towers-thorncliffe-park-toronto-on,"43 Thorncliffe Park Dr, Toronto, ON M4H 1J4","Ceiling Fan,Balcony,On Site Laundry",2 baths,3 beds,"$3,970"
"100 River Street #TH7, Toronto, ON M5A 3P3",,https://www.zumper.com/address/100-riv-st-toronto-on-m5a-3p3-can,"100 River Street #TH7, Toronto, ON M5A 3P3","Hardwood Floor,Controlled Access,Dishwasher",2 baths,3 beds,"$3,990"
Lion's Gate,Very good,https://www.zumper.com/apartment-buildings/p317657/lion's-gate-richview-toronto-on,"59 Waterford Dr, Toronto, ON M9R 2N7","Walk In Closets,Hardwood Floor,In Unit Laundry",2 baths,3 beds,"$3,991"
"114 Beatrice St, Toronto, ON M6J 2T3",,https://www.zumper.com/address/114-beatrice-st-toronto-on-m6j-2t3-can,"114 Beatrice St, Toronto, ON M6J 2T3","Outdoor Space,Air Conditioning,$4,850",2 baths,4 beds,"$4,850,$3,999,Price drop"
"4001, 4003 & 4005 Bayview Avenue",Excellent,https://www.zumper.com/apartment-buildings/p456752/4001-4003-4005-bayview-avenue-bayview-woods-steeles-toronto-on,"4005 Gates Of Bayview, Toronto, ON M2M 3Z9","Dishwasher,Hardwood Floor,Fitness Center",2 baths,3 beds,"$3,999–$4,057"
"34 Laurentide Drive, Toronto, ON M3A 3C7",,https://www.zumper.com/address/34-laurentide-dr-toronto-on-m3a-3c7-can,"34 Laurentide Drive, Toronto, ON M3A 3C7","Air Conditioning,Hardwood Floor,Balcony",2 baths,3 beds,"$3,999"
"186 Lord Seaton Road, Toronto, ON M2P 1K9",,https://www.zumper.com/address/186-lord-seaton-rd-toronto-on-m2p-1k9-can,"186 Lord Seaton Road, Toronto, ON M2P 1K9","Assigned Parking,Dishwasher,In Unit Laundry",2 baths,3 beds,"$4,000"
"83 Wagon Trailway, Toronto, ON M2J 4V4",,https://www.zumper.com/address/83-wagon-trailway-toronto-on-m2j-4v4-can,"83 Wagon Trailway, Toronto, ON M2J 4V4","Outdoor Space,Fireplace,Dishwasher",2 baths,3 beds,"$4,000"
"119 Virginia Avenue, Toronto, ON M4C 2T1",,https://www.zumper.com/address/119-virginia-ave-toronto-on-m4c-2t1-can,"119 Virginia Avenue, Toronto, ON M4C 2T1","Dishwasher,Garden,In Unit Laundry",2 baths,3 beds,"$4,000"
"192 Ontario Street, Toronto, ON M5A 2V5",Verified,https://www.zumper.com/address/192-ontario-st-toronto-on-m5a-2v5-can,"192 Ontario Street, Toronto, ON M5A 2V5","Balcony,Assigned Parking,Furnished",2 baths,3 beds,"$4,000"
"12 Wigmore Drive, Toronto, ON M4A 2E5",,https://www.zumper.com/address/12-wigmore-dr-toronto-on-m4a-2e5-can,"12 Wigmore Drive, Toronto, ON M4A 2E5","Air Conditioning,High Ceilings,In Unit Laundry",2 baths,3 beds,"$4,000"
"95 McMahon Drive, Toronto, ON M2K 0H2",,https://www.zumper.com/address/95-mcmahon-dr-toronto-on-m2k-0h2-can,"95 McMahon Drive, Toronto, ON M2K 0H2","High Ceilings,Air Conditioning,Dishwasher",2 baths,3 beds,"$4,000"
"50 Dunfield Ave, Toronto, ON M4S 0E4",,https://www.zumper.com/address/50-dunfield-ave-toronto-on-m4s-3a4-can,"50 Dunfield Ave, Toronto, ON M4S 0E4","$4,000",2 baths,3 beds,"$4,000"
"253 Claremont Street, Toronto, ON M6J 2N1",Verified,https://www.zumper.com/address/253-claremont-st-toronto-on-m6j-2n1-can,"253 Claremont Street, Toronto, ON M6J 2N1","High Ceilings,Central Heat,In Unit Laundry",2 baths,3 beds,"$4,000"
"24 Saint Clair Gardens #Upper, Toronto, ON M6E 3V4",,https://www.zumper.com/apartments-for-rent/56094388/3-bedroom-earlscourt-toronto-on,"24 Saint Clair Gardens #Upper, Toronto, ON M6E 3V4","Balcony,Roof Deck,High Ceilings",2 baths,3 beds,"$4,000"
,Verified,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"717 Bay Street #1203, Toronto, ON M5G 2J9","Elevator,Roof Deck,On Site Laundry",2 baths,3 beds,"$4,000"
"17 Claremont Street #1, Toronto, ON M6J 2M3",Verified,https://www.zumper.com/address/17-claremont-st-toronto-on-m6j-2m3-can,"17 Claremont Street #1, Toronto, ON M6J 2M3","Balcony,Air Conditioning,In Unit Laundry",2 baths,3 beds,"$4,000"
"Queen St E & River St, Toronto, ON M5A 3P1",,https://www.zumper.com/address/18-raffeix-ln-toronto-on-m5a-3p1-can,"Queen St E & River St, Toronto, ON M5A 3P1","Dishwasher,High Ceilings,Assigned Parking",2 baths,3 beds,"$4,095"
The Ossington,Excellent,https://www.zumper.com/apartment-buildings/p252652/the-ossington-davenport-toronto-on,"1145 Ossington Ave, Toronto, ON M6G 0A3","Balcony,On Site Laundry,Outdoor Space",2 baths,3 beds,"$4,100–$4,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"1055 Bay Street #1702, Toronto, ON M5S 3A3","Garden,Residents Lounge,On Site Laundry",2 baths,3 beds,"$4,100"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"85 Queens Wharf Rd #3006, Toronto, ON M5V 0J9","Air Conditioning,Garage Parking,Concierge Service",2 baths,3 beds,"$4,150"
"118 Wheeler Avenue, Toronto, ON M4L 3V2",,https://www.zumper.com/address/118-wheeler-ave-toronto-on-m4l-3v2-can,"118 Wheeler Avenue, Toronto, ON M4L 3V2","Furnished,In Unit Laundry,Air Conditioning",2 baths,4 beds,"$4,195"
"118 Wheeler Avenue, Toronto, ON M4L 3V2",Verified,https://www.zumper.com/address/118-wheeler-ave-toronto-on-m4l-3v2-can,"118 Wheeler Avenue, Toronto, ON M4L 3V2","Hardwood Floor,Balcony,Furnished",2 baths,3 beds,"$4,195"
"239 Grace St #2, Toronto, ON M6G 3A7",,https://www.zumper.com/address/239-grace-st-toronto-on-m6g-3a7-can,"239 Grace St #2, Toronto, ON M6G 3A7","Garden,In Unit Laundry,Assigned Parking",2 baths,3 beds,"$4,200"
"803 Lansdowne Avenue, Toronto, ON M6H 3Z1",Verified,https://www.zumper.com/address/803-lansdowne-ave-toronto-on-m6h-3z1-can,"803 Lansdowne Avenue, Toronto, ON M6H 3Z1","Balcony,Fireplace,Hardwood Floor",2 baths,3 beds,"$4,800,$4,200,Price drop"
"147 Forman Avenue #Main, Toronto, ON M4S 2R9",,https://www.zumper.com/address/147-forman-ave-toronto-on-m4s-2r9-can,"147 Forman Avenue #Main, Toronto, ON M4S 2R9","High Ceilings,Dishwasher,Storage",2 baths,3 beds,"$4,200"
"54 Boston Avenue, Toronto, ON M4M 2T9",,https://www.zumper.com/address/54-boston-ave-toronto-on-m4m-2t9-can,"54 Boston Avenue, Toronto, ON M4M 2T9","Storage,Dishwasher,Hardwood Floor",2 baths,3 beds,"$4,200"
"24 Beamsville Drive, Toronto, ON M1T 3S2",,https://www.zumper.com/address/24-beamsville-dr-toronto-on-m1t-3s2-can,"24 Beamsville Drive, Toronto, ON M1T 3S2","Fireplace,Assigned Parking,Air Conditioning",2 baths,3 beds,"$4,200"
"35 Fielding Ave Toronto, ON M4J 1R4, Canada",Excellent,https://www.zumper.com/apartment-buildings/p1028664/35-fielding-ave-toronto-on-m4j-1r4-canada-greektown-toronto-on,"35 Fielding Ave, Toronto, ON M4J 1R4","Balcony,Central Heat,Assigned Parking",2 baths,3 beds,"$4,250"
"2020 Bathurst Street #807, Toronto, ON M5P 0A6",,https://www.zumper.com/address/2020-bathurst-st-toronto-on-m5p-0a6-can,"2020 Bathurst Street #807, Toronto, ON M5P 0A6","Central Heat,Outdoor Space,Roof Deck",2 baths,3 beds,"$4,250"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"65 Bremner Boulevard, Toronto, ON M5J 0A7","Residents Lounge,Air Conditioning,Onsite Management",2 baths,3 beds,"$4,250"
"9 Hambly Avenue #Upper, Toronto, ON M4E 2R5",Verified,https://www.zumper.com/address/9-hambly-ave-toronto-on-m4e-2r5-can,"9 Hambly Avenue #Upper, Toronto, ON M4E 2R5","Air Conditioning,Roof Deck,Hardwood Floor",2 baths,3 beds,"$4,300"
"197 Yonge Street #3009, Toronto, ON M5B 1M4",,https://www.zumper.com/address/197-yonge-st-toronto-on-m5b-1m4-can,"197 Yonge Street #3009, Toronto, ON M5B 1M4","Storage,Assigned Parking,High Ceilings",2 baths,3 beds,"$4,300"
"318 Riverdale Avenue, Toronto, ON M4J 1A2",Verified,https://www.zumper.com/address/318-riverdale-ave-toronto-on-m4j-1a2-can,"318 Riverdale Avenue, Toronto, ON M4J 1A2","Air Conditioning,Assigned Parking,Balcony",2 baths,3 beds,"$4,300"
"85 McMahon Drive, Toronto, ON M2K 0H1",,https://www.zumper.com/address/85-mcmahon-dr-toronto-on-m2k-0h1-can,"85 McMahon Drive, Toronto, ON M2K 0H1","Swimming Pool,High Ceilings,On Site Laundry",2 baths,3 beds,"$4,300"
"115 McMahon Drive, Toronto, ON M2K 0E4",,https://www.zumper.com/address/115-mcmahon-dr-toronto-on-m2k-0e4-can,"115 McMahon Drive, Toronto, ON M2K 0E4","Package Service,Hardwood Floor,Swimming Pool",2 baths,3 beds,"$4,300"
"381 Front Street West #2310, Toronto, ON M5V 3R8",,https://www.zumper.com/address/381-frnt-st-w-toronto-on-m5v-3r8-can,"381 Front Street West #2310, Toronto, ON M5V 3R8","Swimming Pool,Fitness Center,Air Conditioning",2 baths,3 beds,"$4,300"
"Warden Ave. & Finch Ave E, Toronto, ON M1W 0A5",,https://www.zumper.com/address/7-eaton-park-ln-toronto-on-m1w-0a5-can,"Warden Ave. & Finch Ave E, Toronto, ON M1W 0A5","High Ceilings,Roof Deck,Walk In Closets",2 baths,3 beds,"$4,300"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"3 Elsie Lane #28, Toronto, ON M6P 0B8","Air Conditioning,Central Heat,Balcony",2 baths,3 beds,"$4,393"
"146 Bartlett Avenue #Main, Toronto, ON M6H 3G1",,https://www.zumper.com/address/146-bartlett-ave-toronto-on-m6h-3g1-can,"146 Bartlett Avenue #Main, Toronto, ON M6H 3G1","Balcony,Dishwasher,Outdoor Space",2 baths,4 beds,"$4,395"
"197 Yonge Street #1309, Toronto, ON M5B 1M4",,https://www.zumper.com/address/197-yonge-st-toronto-on-m5b-1m4-can,"197 Yonge Street #1309, Toronto, ON M5B 1M4","Balcony,Swimming Pool,Central Heat",2 baths,3 beds,"$4,400"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"3 Elsie Lane, Toronto, ON M6P 0B8","Walk In Closets,Air Conditioning,Assigned Parking",2 baths,3 beds,"$4,400"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=11,"17 Powerhouse St, Toronto, ON M6H 0C5","Dishwasher,Hardwood Floor,Air Conditioning",2 baths,3 beds,"$4,400"
45 Baseball Pl,Very good,https://www.zumper.com/apartment-buildings/p1062860/45-baseball-pl-riverdale-toronto-on,"45 Baseball Pl, Toronto, ON M4M 0H1","$4,450",2 baths,3 beds,"$4,450"
"110 Leslie Street, Toronto, ON M4M 3C7",Verified,https://www.zumper.com/address/110-leslie-st-toronto-on-m4m-3c7-can,"110 Leslie Street, Toronto, ON M4M 3C7","Balcony,High Ceilings,Central Heat",2 baths,3 beds,"$4,480"
"95 Brooklyn Avenue, Toronto, ON M4M 2X4",Verified,https://www.zumper.com/address/95-brooklyn-ave-toronto-on-m4m-2x4-can,"95 Brooklyn Avenue, Toronto, ON M4M 2X4","Ceiling Fan,Central Heat,Fireplace",2 baths,3 beds,"$4,650,$4,500,Price drop"
"55 Mercer Street #1102, Toronto, ON M5V 3W2",,https://www.zumper.com/address/55-mercer-st-toronto-on-m5v-3w2-can,"55 Mercer Street #1102, Toronto, ON M5V 3W2","Controlled Access,Balcony,Fitness Center",2 baths,3 beds,"$4,500"
"101 Burnside Drive #Upper, Toronto, ON M6G 2M9",,https://www.zumper.com/address/101-burnside-dr-toronto-on-m6g-2m9-can,"101 Burnside Drive #Upper, Toronto, ON M6G 2M9","Hardwood Floor,Storage,Assigned Parking",2 baths,3 beds,"$4,500"
"2020 Bathurst Street #207, Toronto, ON M5P 0A6",,https://www.zumper.com/address/2020-bathurst-st-toronto-on-m5p-0a6-can,"2020 Bathurst Street #207, Toronto, ON M5P 0A6","Air Conditioning,Controlled Access,In Unit Laundry",2 baths,3 beds,"$4,500"
"297 Withrow Avenue, Toronto, ON M4J 1B6",Verified,https://www.zumper.com/address/297-withrow-ave-toronto-on-m4j-1b6-can,"297 Withrow Avenue, Toronto, ON M4J 1B6","Air Conditioning,Dishwasher,Balcony",2 baths,3 beds,"$4,500"
"3 Hemford Crescent, Toronto, ON M3B 2S4",,https://www.zumper.com/address/3-hemford-crk-toronto-on-m3b-2s4-can,"3 Hemford Crescent, Toronto, ON M3B 2S4","Air Conditioning,Central Heat,Garden",2 baths,3 beds,"$4,500"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"5 Mariner Terr, Toronto, ON M5V 3V6","Central Heat,Walk In Closets,Dishwasher",2 baths,3 beds,"$4,500"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"16 Laidlaw St, Toronto, ON M6K 1X2","Hardwood Floor,In Unit Laundry,Outdoor Space",2 baths,3 beds,"$4,500"
"397 Parkside Drive, Toronto, ON M6R 2Z7",,https://www.zumper.com/address/397-parkside-dr-toronto-on-m6r-2z7-can,"397 Parkside Drive, Toronto, ON M6R 2Z7","Garden,Balcony,In Unit Laundry",2 baths,3 beds,"$4,599"
"25 Dorval Road, Toronto, ON M6P 2B5",,https://www.zumper.com/address/25-dorval-rd-toronto-on-m6p-2b5-can,"25 Dorval Road, Toronto, ON M6P 2B5","Balcony,Air Conditioning,Central Heat",2 baths,4 beds,"$4,600"
"258 Silver Birch Ave, Toronto, ON M4E 3L5",,https://www.zumper.com/address/258-silver-birch-ave-toronto-on-m4e-3l5-can,"258 Silver Birch Ave, Toronto, ON M4E 3L5","In Unit Laundry,Central Heat,Air Conditioning",2 baths,3 beds,"$4,600"
"95 Brooklyn Avenue, Toronto, ON M4M 2X4",,https://www.zumper.com/address/95-brooklyn-ave-toronto-on-m4m-2x4-can,"95 Brooklyn Avenue, Toronto, ON M4M 2X4","Balcony,Storage,High Ceilings",2 baths,3 beds,"$4,650"
"665 Queen Street East #508, Toronto, ON M4M 1G4",,https://www.zumper.com/address/665-queen-st-e-toronto-on-m4m-1g4-can,"665 Queen Street East #508, Toronto, ON M4M 1G4","Controlled Access,In Unit Laundry,Hardwood Floor",2 baths,4 beds,"$4,800"
"36 Fairfield Road, Toronto, ON M4P 1T1",Verified,https://www.zumper.com/address/36-fairfield-rd-toronto-on-m4p-1t1-can,"36 Fairfield Road, Toronto, ON M4P 1T1","Central Heat,Air Conditioning,Hardwood Floor",2 baths,3 beds,"$4,800"
"19 Elvina Gardens, Toronto, ON M4P 1X7",Verified,https://www.zumper.com/address/19-elvina-gdns-toronto-on-m4p-1x7-can,"19 Elvina Gardens, Toronto, ON M4P 1X7","Garden,Central Heat,Balcony",2 baths,3 beds,"$4,850"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"388 Brunswick Avenue #2, Toronto, ON M5R 2Z4","Assigned Parking,Hardwood Floor,Central Heat",2 baths,3 beds,"$4,900"
"52 Kippendavie Avenue, Toronto, ON M4L 3R3",,https://www.zumper.com/address/52-kippendavie-ave-toronto-on-m4l-3r3-can,"52 Kippendavie Avenue, Toronto, ON M4L 3R3","In Unit Laundry,Dishwasher,Central Heat",2 baths,3 beds,"$4,950"
,Verified,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"832 Bay Street #4710, Toronto, ON M5S 1Z6","Concierge Service,In Unit Laundry,Dishwasher",2 baths,3 beds,"$4,995"
"3 Costain Avenue, Toronto, ON M4E 2G7",,https://www.zumper.com/address/3-costain-ave-toronto-on-m4e-2g7-can,"3 Costain Avenue, Toronto, ON M4E 2G7","Balcony,In Unit Laundry,Air Conditioning",2 baths,3 beds,"$5,000"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"501 Yonge Street #3012, Toronto, ON M4Y 0G8","Controlled Access,Residents Lounge,In Unit Laundry",2 baths,3 beds,"$5,000"
,Verified,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"33 Bay Street #4905, Toronto, ON M5J 2Z3","On Site Laundry,Dishwasher,Fitness Center",2 baths,3 beds,"$5,000"
"153 Beatrice Street #B, Toronto, ON M6J 2T2",,https://www.zumper.com/address/153-beatrice-st-toronto-on-m6j-2t2-can,"153 Beatrice Street #B, Toronto, ON M6J 2T2","Garden,Hardwood Floor,On Site Laundry",2 baths,5 beds,"$5,200,$5,100,Price drop"
"153 Beatrice Street #A, Toronto, ON M6J 2T2",,https://www.zumper.com/address/153-beatrice-st-toronto-on-m6j-2t2-can,"153 Beatrice Street #A, Toronto, ON M6J 2T2","Hardwood Floor,Garage Parking,On Site Laundry",2 baths,5 beds,"$5,400,$5,300,Price drop"
"387 Willowdale Avenue, Toronto, ON M2N 5A8",,https://www.zumper.com/address/387-willowdale-ave-toronto-on-m2n-5a8-can,"387 Willowdale Avenue, Toronto, ON M2N 5A8","Hardwood Floor,In Unit Laundry,Central Heat",2 baths,4 beds,"$5,300"
67-71 Gloucester St & 592-596 Church St,Excellent,https://www.zumper.com/apartment-buildings/1367479/67-71-gloucester-st-592-596-church-st-the-village-toronto-on,"592-596 Churst Street, Toronto, ON M4Y 2E5","In Unit Laundry,Hardwood Floor,Dishwasher",2 baths,3 beds,"$5,399"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=12,"12 Coleridge Avenue, Toronto, ON M4C 4H5","Storage,Central Heat,Air Conditioning",2 baths,5 beds,"$5,500"
"164 Langford Avenue, Toronto, ON M4J 3E6",,https://www.zumper.com/address/164-langford-ave-toronto-on-m4j-3e6-can,"164 Langford Avenue, Toronto, ON M4J 3E6","Central Heat,Balcony,Dishwasher",2 baths,4 beds,"$6,095"
"250 Major Street, Toronto, ON M5S 2L6",,https://www.zumper.com/address/250-major-st-toronto-on-m5s-2l6-can,"250 Major Street, Toronto, ON M5S 2L6","Central Heat,Air Conditioning,Dishwasher",2 baths,5 beds,"$6,400"
"71 Lee Avenue, Toronto, ON M4E 2P1",Verified,https://www.zumper.com/address/71-lee-ave-toronto-on-m4e-2p1-can,"71 Lee Avenue, Toronto, ON M4E 2P1","Air Conditioning,Central Heat,In Unit Laundry",2 baths,5 beds,"$6,500"
"250 Major Street #Main, Toronto, ON M5S 2L6",,https://www.zumper.com/address/250-major-st-toronto-on-m5s-2l6-can,"250 Major Street #Main, Toronto, ON M5S 2L6","Dishwasher,High Ceilings,In Unit Laundry",2 baths,5 beds,"$6,500"
