Title,Year,Duration,ParentGuide,Rating,Reviews
Up,2009,1h 36m,PG,8.3,1.1M
To Kill a Mockingbird,1962,2h 9m,Approved,8.3,330K
The Sting,1973,2h 9m,PG,8.3,276K
A Separation,2011,2h 3m,PG-13,8.3,256K
Hamilton,2020,2h 40m,PG-13,8.3,110K
Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,802K
Die Hard,1988,2h 12m,R,8.2,935K
Metropolis,1927,2h 33m,Not Rated,8.3,183K
Like Stars on Earth,2007,2h 42m,PG,8.3,204K
Snatch,2000,1h 42m,R,8.2,898K
Bicycle Thieves,1948,1h 29m,Not Rated,8.3,173K
L.A. Confidential,1997,2h 18m,R,8.2,610K
1917,2019,1h 59m,R,8.2,659K
Taxi Driver,1976,1h 54m,R,8.2,904K
Downfall,2004,2h 36m,R,8.2,371K
Dangal,2016,2h 41m,Not Rated,8.3,207K
For a Few Dollars More,1965,2h 12m,R,8.2,271K
Batman Begins,2005,2h 20m,PG-13,8.2,1.6M
Some Like It Hot,1959,2h 1m,Passed,8.2,280K
The Wolf of Wall Street,2013,3h,R,8.2,1.5M
The Kid,1921,1h 8m,Passed,8.2,133K
Top Gun: Maverick,2022,2h 10m,PG-13,8.3,662K
Green Book,2018,2h 10m,PG-13,8.2,551K
The Father,2020,1h 37m,PG-13,8.2,186K
All About Eve,1950,2h 18m,Passed,8.2,137K
Judgment at Nuremberg,1961,2h 59m,Approved,8.3,84K
The Truman Show,1998,1h 43m,PG,8.2,1.2M
There Will Be Blood,2007,2h 38m,R,8.2,632K
Shutter Island,2010,2h 18m,R,8.2,1.4M
Casino,1995,2h 58m,R,8.2,555K
Ran,1985,2h 40m,R,8.2,134K
Jurassic Park,1993,2h 7m,PG-13,8.2,1.1M
Pan's Labyrinth,2006,1h 58m,R,8.2,696K
The Sixth Sense,1999,1h 47m,PG-13,8.2,1M
Unforgiven,1992,2h 10m,R,8.2,431K
A Beautiful Mind,2001,2h 15m,PG-13,8.2,976K
No Country for Old Men,2007,2h 2m,R,8.2,1M
The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2,131K
Yojimbo,1961,1h 50m,Not Rated,8.2,130K
The Thing,1982,1h 49m,R,8.2,459K
Kill Bill: Vol. 1,2003,1h 51m,R,8.2,1.2M
Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,565K
The Great Escape,1963,2h 52m,Approved,8.2,256K
Finding Nemo,2003,1h 40m,G,8.2,1.1M
Rashomon,1950,1h 28m,Not Rated,8.2,178K
The Elephant Man,1980,2h 4m,PG,8.2,255K
Chinatown,1974,2h 10m,R,8.2,345K
Howl's Moving Castle,2004,1h 59m,PG,8.2,437K
Prisoners,2013,2h 33m,R,8.1,790K
Dial M for Murder,1954,1h 45m,PG,8.2,186K
Gone with the Wind,1939,3h 58m,Passed,8.2,330K
V for Vendetta,2005,2h 12m,R,8.2,1.2M
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,610K
The Secret in Their Eyes,2009,2h 9m,R,8.2,220K
Raging Bull,1980,2h 9m,R,8.1,375K
Inside Out,2015,1h 35m,PG,8.1,771K
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,546K
Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,856K
Trainspotting,1996,1h 33m,R,8.1,718K
The Bridge on the River Kwai,1957,2h 41m,PG,8.1,231K
Godzilla Minus One,2023,2h 4m,PG-13,8.3,37K
Fargo,1996,1h 38m,R,8.1,715K
Warrior,2011,2h 20m,PG-13,8.1,493K
Klaus,2019,1h 36m,PG,8.2,185K
Catch Me If You Can,2002,2h 21m,PG-13,8.1,1.1M
Gran Torino,2008,1h 56m,R,8.1,807K
My Neighbor Totoro,1988,1h 26m,G,8.1,371K
Million Dollar Baby,2004,2h 12m,PG-13,8.1,715K
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,934K
Children of Heaven,1997,1h 29m,PG,8.2,80K
Blade Runner,1982,1h 57m,R,8.1,812K
12 Years a Slave,2013,2h 14m,R,8.1,733K
Before Sunrise,1995,1h 41m,R,8.1,334K
The Grand Budapest Hotel,2014,1h 39m,R,8.1,873K
Ben-Hur,1959,3h 32m,G,8.1,251K
Barry Lyndon,1975,3h 5m,PG,8.1,180K
Gone Girl,2014,2h 29m,R,8.1,1M
The Gold Rush,1925,1h 35m,Passed,8.1,117K
Hacksaw Ridge,2016,2h 19m,R,8.1,581K
In the Name of the Father,1993,2h 13m,R,8.1,185K
Memories of Murder,2003,2h 12m,Not Rated,8.1,210K
On the Waterfront,1954,1h 48m,Approved,8.1,163K
The General,1926,1h 18m,Passed,8.1,97K
The Deer Hunter,1978,3h 3m,R,8.1,358K
Dead Poets Society,1989,2h 8m,PG,8.1,534K
Wild Tales,2014,2h 2m,R,8.1,213K
Mad Max: Fury Road,2015,2h,R,8.1,1.1M
Wild Strawberries,1957,1h 31m,Not Rated,8.1,113K
The Third Man,1949,1h 33m,Approved,8.1,180K
Sherlock Jr.,1924,45m,Passed,8.2,56K
The Wages of Fear,1953,2h 11m,Not Rated,8.2,65K
"Monsters, Inc.",2001,1h 32m,G,8.1,965K
Mr. Smith Goes to Washington,1939,2h 9m,Passed,8.1,120K
Jaws,1975,2h 4m,PG,8.1,650K
How to Train Your Dragon,2010,1h 38m,PG,8.1,788K
Mary and Max,2009,1h 32m,Not Rated,8.1,185K
Ford v Ferrari,2019,2h 32m,PG-13,8.1,452K
Ratatouille,2007,1h 51m,G,8.1,806K
The Seventh Seal,1957,1h 36m,Not Rated,8.1,196K
Room,2015,1h 58m,R,8.1,445K
The Big Lebowski,1998,1h 57m,R,8.1,850K
Tokyo Story,1953,2h 16m,Not Rated,8.1,67K
Rocky,1976,2h,PG,8.1,619K
Hotel Rwanda,2004,2h 1m,PG-13,8.1,369K
Logan,2017,2h 17m,R,8.1,817K
Spotlight,2015,2h 9m,R,8.1,496K
Platoon,1986,2h,R,8.1,434K
The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,60K
The Terminator,1984,1h 47m,R,8.1,912K
Jai Bhim,2021,2h 44m,TV-MA,8.7,215K
Before Sunset,2004,1h 20m,R,8.1,284K
Rush,2013,2h 3m,R,8.1,507K
The Best Years of Our Lives,1946,2h 50m,Approved,8.1,69K
Network,1976,2h 1m,R,8.1,168K
La haine,1995,1h 38m,Not Rated,8.1,192K
The Exorcist,1973,2h 2m,R,8.1,449K
Stand by Me,1986,1h 29m,R,8.1,434K
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.2M
The Wizard of Oz,1939,1h 42m,G,8.1,423K
The Incredibles,2004,1h 55m,PG,8.0,794K
Into the Wild,2007,2h 28m,R,8.1,651K
Hachi: A Dog's Tale,2009,1h 33m,G,8.1,306K
The Handmaiden,2016,2h 25m,Not Rated,8.1,168K
To Be or Not to Be,1942,1h 39m,Passed,8.1,42K
My Father and My Son,2005,1h 52m,Not Rated,8.2,91K
The Battle of Algiers,1966,2h 1m,Not Rated,8.1,65K
The Grapes of Wrath,1940,2h 9m,Passed,8.1,99K
Groundhog Day,1993,1h 41m,PG,8.0,674K
The Sound of Music,1965,2h 52m,G,8.1,256K
Amores Perros,2000,2h 34m,R,8.1,251K
Rebecca,1940,2h 10m,Approved,8.1,145K
Cool Hand Luke,1967,2h 7m,GP,8.1,187K
The Iron Giant,1999,1h 26m,PG,8.1,222K
The Help,2011,2h 26m,PG-13,8.1,486K
It Happened One Night,1934,1h 45m,Passed,8.1,111K
The 400 Blows,1959,1h 39m,Not Rated,8.1,126K
Pather Panchali,1955,2h 5m,Not Rated,8.2,38K
Drishyam,2015,2h 43m,Not Rated,8.2,93K
Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,103K
